Designator,Mid X,Mid Y,Rotation,Layer
R150,170.659001,22.531998,90,top
R151,180.311001,22.531998,90,top
R152,159.473,34.372,180,top
R153,175.26,34.32,0,top
R154,186.69,34.32,0,top
R155,57.152501,204.315999,0,top
R156,78.846001,204.315999,0,top
R157,100.436001,204.315999,0,top
R158,90.452,196,-90,top
R159,64.6115,198.15,-90,top
R160,115.952,196,-90,top
R161,110.454,176.388,180,top
R162,98.008,176.403,180,top
R163,122.174,176.72,180,top
R164,24.299001,207.617999,0,top
R165,40.492001,207.617999,0,top
R166,42.7675,198.087,-90,top
R167,19.9075,198.0465,-90,top
R168,139.446,19.334,0,top
R169,101.198001,207.871999,0,top
R170,19.006,107.889498,180,top
R171,19.006,127.351998,180,top
R172,135.612,208.163,180,top
R173,81.28,89.946,180,top
R174,81.265,110.266,180,top
R175,81.28,130.332,180,top
R176,58.272001,207.871999,0,top
R177,79.862001,207.871999,0,top
R178,267.046,201.706,0,top
R179,239.3,185.102,0,top
R180,267.4035,185.704,0,top
R181,270.7055,199.674,0,top
R182,160.504,208.163,180,top
R183,186.666,208.417,180,top
R184,261.366,69.4755,-90,top
R185,275.336,29.9145,90,top
R186,243.11,183.07,180,top
R187,271.2135,183.672,180,top
R188,274.158,195.864,90,top
R189,274.158,192.562,90,top
R190,246.666,179.768,90,top
R191,246.666,176.466,90,top
R192,274.158,179.862,90,top
R193,274.158,176.56,90,top
R194,282.9,194.7,-90,top
R195,254.9,178.737,-90,top
R196,282.9,178.6,-90,top
R197,55.549,129.469998,90,top
R198,55.803,109.403998,90,top
R199,55.707,89.438,90,top
R200,58.597,132.872,0,top
R201,58.597,113.06,0,top
R202,58.501,92.994,0,top
R203,65.532,132.872,180,top
R204,65.532,113.06,0,top
R205,65.532,92.994,0,top
R206,209.674,159.015,90,top
R207,209.674,142.403,90,top
R208,212.118,210.472,90,top
R209,208.7615,147.737,180,top
R210,211.137,215.676,0,top
R211,208.534,164.114,0,top
R212,218.503,215.676,0,top
R213,215.9,164.114,0,top
R214,216.1275,147.737,0,top
R215,264.252,144.302,90,top
R216,219.326,160.285,90,top
R217,219.326,156.983,90,top
