Designator;Val;Package;Mid X;Mid Y;Rotation;Layer
D71;TVS;DPY2_TEX;76.804;103.408;0;top
D73;TVS;DPY2_TEX;79.502;118.648;-90;top
D75;TVS;DPY2_TEX;81.026;98.328;-90;top
D76;TVS;DPY2_TEX;76.454;83.088;0;top
D77;TVS;DPY2_TEX;81.534;77.246;-90;top
D78;TVS;DPY2_TEX;223.362;201.198;90;top
D82;TVS;DPY2_TEX;248.92;167.512;90;top
D83;TVS;DPY2_TEX;249.936;149.89;90;top
D84;TVS;DPY2_TEX;224.124;190.276;0;top
D85;TVS;DPY2_TEX;160.753001;18.721998;180;top
D86;TVS;DPY2_TEX;170.659001;18.721998;180;top
D87;TVS;DPY2_TEX;180.311001;18.721998;180;top
D88;TVS;DPY2_TEX;250.032;139.222;0;top
D89;TVS;DPY2_TEX;249.524;156.494;0;top
D90;TVS;DPY2_TEX;277.368;150.652;90;top
D97;TVS;DPY2_TEX;277.31;167.004;90;top
D98;TVS;DPY2_TEX;221.996;181.894;90;top
D99;TVS;DPY2_TEX;278.034;157.002;0;top
D100;TVS;DPY2_TEX;211.943;8.666;0;top
D101;TVS;DPY2_TEX;201.676;11.46;0;top
D102;TVS;DPY2_TEX;207.625;8.666;180;top
D103;TVS;DPY2_TEX;199.61682;3.52583;90;top
D104;TVS;DPY2_TEX;203.815;8.666;0;top
D105;TVS;DPY2_TEX;222.346;171.734;0;top
D106;TVS;DPY2_TEX;18.542;207.294;-90;top
D107;TVS;DPY2_TEX;61.722;71.562;-90;top
D108;TVS;DPY2_TEX;35.56;207.294;-90;top
D109;TVS;DPY2_TEX;16.002;92.074;-90;top
D110;TVS;DPY2_TEX;15.494;111.282;90;top
D111;TVS;DPY2_TEX;15.748;131.19;90;top
D115;LED;WL-SMCW_0603;261.366;72.966;-90;top
D116;LED;WL-SMCW_0603;275.357;25.6665;90;top
D117;LED;WL-SMCW_0603;276.944;128.5;0;top
D118;LED;WL-SMCW_0603;244.602;123.982;90;top
D119;TVS;DPY2_TEX;62.493464;65.416639;-90;top
D121;TVS;DPY2_TEX;75.789489;68.485956;0;top
D122;TVS;DPY2_TEX;77.216;63.434;-90;top
D123;TVS;DPY2_TEX;81.788;59.212;90;top
D125;TVS;DPY2_TEX;63.107774;54.229786;-90;top
D126;TVS;DPY2_TEX;81.534;48.132;90;top
D127;TVS;DPY2_TEX;80.735399;52.957683;90;top
D128;TVS;DPY2_TEX;108.966;25.592;90;top
D129;TVS;DPY2_TEX;140.590256;22.734;90;top
D130;TVS;DPY2_TEX;63.496477;42.550727;-90;top
D131;TVS;DPY2_TEX;63.596877;33.262652;0;top
D132;TVS;DPY2_TEX;68.146426;30.599772;-90;top
D133;TVS;DPY2_TEX;68.23;24.775219;-90;top
D134;TVS;DPY2_TEX;117.235452;35.082;0;top
D135;TVS;DPY2_TEX;134.528;35.082;0;top
D136;TVS;DPY2_TEX;81.987358;45.389884;-90;top
D137;TVS;DPY2_TEX;81.688366;38.952246;180;top
D138;TVS;DPY2_TEX;83.73375;36.884809;180;top
D139;TVS;DPY2_TEX;86.149656;32.796;0;top
D140;TVS;DPY2_TEX;154.648803;36.271864;180;top
D141;TVS;DPY2_TEX;169.672;34.32;0;top
D144;TVS;DPY2_TEX;171.704;36.86;0;top
D145;TVS;DPY2_TEX;182.022;35.844;0;top
D146;TVS;DPY2_TEX;106.934;188.498;-90;top
D147;TVS;DPY2_TEX;94.234;189.514;-90;top
D148;TVS;DPY2_TEX;107.188;171.734;0;top
D149;TVS;DPY2_TEX;93.472;184.18;90;top
D150;TVS;DPY2_TEX;119.888;189.356;90;top
D151;TVS;DPY2_TEX;120.396;171.734;0;top
D152;TVS;DPY2_TEX;76.708;186.72;90;top
D153;TVS;DPY2_TEX;86.36;188.752;90;top
D154;TVS;DPY2_TEX;83.312;182.56;90;top
D155;TVS;DPY2_TEX;85.344;182.656;90;top
D156;TVS;DPY2_TEX;216.662;8.666;0;top
D157;TVS;DPY2_TEX;216.662;11.714;180;top
D158;TVS;DPY2_TEX;277.114;144.81;90;top
D162;TVS;DPY2_TEX;139.446;189.26;90;top
D163;TVS;DPY2_TEX;148.844;188.752;0;top
D164;TVS;DPY2_TEX;165.862;189.006;180;top
D165;TVS;DPY2_TEX;149.098;171.734;180;top
D166;TVS;DPY2_TEX;131.572;171.734;0;top
D167;TVS;DPY2_TEX;159.766;171.734;0;top
D168;TVS;DPY2_TEX;139.192;171.734;0;top
D169;TVS;DPY2_TEX;151.638;171.734;0;top
D170;TVS;DPY2_TEX;165.608;171.734;0;top
D171;TVS;DPY2_TEX;102.616;171.734;0;top
D172;TVS;DPY2_TEX;114.046;171.734;0;top
D173;TVS;DPY2_TEX;126.492;171.734;0;top
D178;TVS;DPY2_TEX;139.338;29.494;0;top
D180;TVS;DPY2_TEX;121.254;35.082;0;top
D181;TVS;DPY2_TEX;126.091382;35.08249;180;top
D182;TVS;DPY2_TEX;193.802;173.004;-90;top
D183;TVS;DPY2_TEX;194.31;158.176;90;top
D184;TVS;DPY2_TEX;199.644;168.686;180;top
D185;TVS;DPY2_TEX;198.12;150.906;180;top
F1;Fuse;6.96108E+11;279.1555;83.596;-90;top
FID1;Fiducial;Fiducial_0.5mm_Mask1.5mm;284.226;4.856;0;top
FID2;Fiducial;Fiducial_0.5mm_Mask1.5mm;8.5;20;0;top
